SurveyYear,Survey,SurveyQuarter,StaPlanned,StaValComp,DifSta,SurveyCov,DisruptorCat,Disruptor,DurationIfTemp,LocationIf Spat,Comment,NStaAff,SurveyCovAff,Reference,,,,,
2022,NS-IBTS NED,Q1,57,53,4,93,3,gear,10 days,NA,NA,NA,NA,ICES (2022),,,,,
2022,NS-IBTS GER,Q1,67,10,57,15,3,pandemic,NA,NA,delayed for first weeks,NA,NA,ICES (2022),,,,,
2022,NS-IBTS GER,Q1,,,,,3,weather,NA,NA,NA,NA,NA,ICES (2022),,,,,
2022,NS-IBTS DEN,Q1,42,23,19,55,3,pandemic,NA,NA,less experienced staff and reduced hauls,NA,NA,ICES (2022),,,,,
2022,NS-IBTS DEN,Q1,,,,,3,weather,NA,NA,NA,NA,NA,ICES (2022),,,,,
2022,NS-IBTS INT,Q1,371,237,134,64,3,weather,NA,NA,4 storms,NA,NA,ICES (2022),,,,,
2022,NS-IBTS INT,Q1,,,,,1,windfarm,and rough ground conditions,40(35) stations,NA,NA,NA,ICES (2022),,,,,
2022,NS-IBTS INT,Q3,,,,,1,windfarm,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,NS-IBTS SCOT,Q3,100,83,17,83,3,gear,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,NS-IBTS UK,Q3,78,71,7,91,3,gear,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,NS-IBTS GER,Q3,33,32,1,97,3,pandemic,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,UK-SCOWGFS,Q1,62,0,62,0,3,gear,NA,NA,survey cancelled,62,100,ICES (2023),,,,,
2022,PT-PGFS,Q4,96,61,35,64,3,weather,3 days,NA,NA,NA,NA,ICES (2023),,,,,
2022,PT-PGFS,Q4,,,,,3,gear,7 days,NA,NA,NA,NA,ICES (2023),,,,,
2022,FR-EVHOE,Q4,158,124,34,78,3,pandemic,9 days,NA,NA,NA,NA,ICES (2023),,,,,
2022,FR-EVHOE,Q4,,,,,3,weather,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,FR-CGFS,Q4,74,68,6,92,1,windfarm,access denied,NA,NA,1,1,ICES (2023),,,,,
2022,FR-CGFS,Q4,,,,,2,legal,NA,5 stations,UK 6 nm limit,5,7,ICES (2023),,,,,
2022,IE-IGFS,Q4,171,152,19,89,3,weather,3 days,NA,NA,NA,NA,ICES (2023),,,,,
2022,IE-IGFS,Q4,,,,,3,gear,1 day,NA,NA,NA,NA,ICES (2023),,,,,
2022,IE-IAMS,Q1/Q2,97,91,6,94,3,weather,NA,NA,NA,NA,NA,ICES (2023),,,,,
2022,UK-NIGFS,Q4,62,45,17,73,3,pandemic,NA,NA,NA,NA,NA,ICES (2023),,,,,
2023,NS-IBTS GER,Q1,67,22,45,33,3,gear,7 days,"recs 46E6, 47E6, 48E6, 49E6 ","delayed survey, and then survey had to be cancelled after 22 stations",45,67,ICES (2023),,,,,
2023,NS-IBTS SCOT,Q1,58,52,6,90,3,gear,NA,1 station,NA,NA,NA,ICES (2023),,,,,
